lot_id,ferme_id,coop_id,variete,grade,certification,date_creation
1,9265,12,Forastero,Standard,Fairtrade,2024-12-04
2,1985,102,Forastero,Premium,Aucune,2025-11-03
3,2714,63,Forastero,Premium,Fairtrade,2024-12-31
4,9366,12,Forastero,Standard,Fairtrade,2025-01-10
5,6994,27,Forastero,Premium,Fairtrade,2024-07-21
6,11140,75,Forastero,Standard,Aucune,2024-12-26
7,8991,109,Forastero,Standard,Bio,2023-01-23
8,8057,95,Forastero,Standard,UTZ,2025-07-15
9,8529,119,Forastero,Standard,Aucune,2025-05-17
10,11872,50,Forastero,Premium,Aucune,2024-11-20
11,2872,34,Forastero,Premium,Rainforest Alliance,2024-04-18
12,2706,18,Forastero,Standard,Rainforest Alliance,2024-02-08
13,828,80,Forastero,Premium,Aucune,2024-02-26
14,1088,65,Forastero,Standard,Fairtrade,2023-07-21
15,8129,22,Forastero,Standard,Aucune,2023-11-17
16,6047,14,Trinitario,Standard,Rainforest Alliance,2025-04-05
17,9210,25,Trinitario,Standard,Aucune,2025-06-03
18,1144,31,Forastero,Standard,Bio,2023-01-30
19,9801,102,Forastero,Standard,Aucune,2025-06-20
20,5579,12,Forastero,Standard,Fairtrade,2024-01-08
21,2353,49,Forastero,Premium,UTZ,2025-12-04
22,2600,6,Forastero,Standard,Aucune,2023-10-28
23,3354,54,Forastero,Premium,Fairtrade,2024-04-22
24,1144,31,Forastero,Standard,Bio,2024-12-01
25,8555,118,Forastero,Standard,Aucune,2023-09-14
26,3055,68,Forastero,Standard,Rainforest Alliance,2023-11-28
27,40,94,Trinitario,Standard,Rainforest Alliance,2023-03-17
28,7049,20,Forastero,Standard,Aucune,2024-09-08
29,674,33,Forastero,Standard,Rainforest Alliance,2024-02-25
30,8314,55,Forastero,Premium,UTZ,2024-08-11
31,6199,17,Forastero,Standard,Aucune,2025-11-12
32,283,52,Forastero,Standard,Fairtrade,2023-09-29
33,8114,2,Forastero,Standard,Aucune,2024-04-26
34,9671,61,Forastero,Premium,Rainforest Alliance,2023-08-04
35,5021,1,Forastero,Standard,Aucune,2023-08-08
36,1506,39,Forastero,Standard,UTZ,2024-02-07
37,9954,88,Forastero,Premium,Aucune,2023-06-16
38,3024,35,Forastero,Standard,Aucune,2023-05-16
39,2102,114,Forastero,Standard,Rainforest Alliance,2024-12-19
40,8309,56,Forastero,Standard,Aucune,2023-11-19
41,7258,58,Forastero,Standard,Aucune,2023-04-04
42,6656,78,Forastero,Standard,Rainforest Alliance,2025-10-07
43,2392,104,Forastero,Premium,Fairtrade,2025-05-07
44,709,106,Forastero,Standard,Rainforest Alliance,2023-02-14
45,8287,104,Forastero,Standard,Fairtrade,2024-12-15
46,4693,100,Forastero,Standard,Aucune,2024-09-13
47,8977,83,Forastero,Premium,Aucune,2024-10-05
48,2322,38,Forastero,Standard,Aucune,2024-05-31
49,10036,65,Trinitario,Standard,Fairtrade,2023-11-05
50,1148,63,Forastero,Standard,Fairtrade,2025-09-04
51,4976,77,Forastero,Standard,Bio,2024-07-06
52,2279,47,Forastero,Premium,Aucune,2023-04-02
53,8965,116,Forastero,Premium,Aucune,2023-06-14
54,7884,11,Forastero,Standard,Aucune,2025-05-29
55,7603,32,Forastero,Standard,Aucune,2025-08-06
